lon,lat,candidate_id,era5_land_valid,coordinate_key,original_site_id,is_original_site
116.2,26.7,358,TRUE,"116.200000,26.700000",,FALSE
116.2,27.6,359,TRUE,"116.200000,27.600000",88,TRUE
116.2,28.5,360,TRUE,"116.200000,28.500000",,FALSE
116.2,29.4,361,TRUE,"116.200000,29.400000",89,TRUE
116.2,30.3,362,TRUE,"116.200000,30.300000",,FALSE
116.2,31.2,363,TRUE,"116.200000,31.200000",90,TRUE
116.2,32.1,364,TRUE,"116.200000,32.100000",,FALSE
116.2,33,365,TRUE,"116.200000,33.000000",91,TRUE
116.2,33.9,366,TRUE,"116.200000,33.900000",,FALSE
116.2,34.8,367,TRUE,"116.200000,34.800000",92,TRUE
116.2,35.7,368,TRUE,"116.200000,35.700000",,FALSE
116.2,36.6,369,TRUE,"116.200000,36.600000",93,TRUE
116.2,37.5,370,TRUE,"116.200000,37.500000",,FALSE
116.2,38.4,371,TRUE,"116.200000,38.400000",94,TRUE
116.2,39.3,372,TRUE,"116.200000,39.300000",,FALSE
116.2,40.2,373,TRUE,"116.200000,40.200000",95,TRUE
116.2,41.1,374,TRUE,"116.200000,41.100000",,FALSE
116.2,42,375,TRUE,"116.200000,42.000000",96,TRUE
117,20.4,376,FALSE,"117.000000,20.400000",,FALSE
117,21.3,377,FALSE,"117.000000,21.300000",,FALSE
117,22.2,378,FALSE,"117.000000,22.200000",,FALSE
117,23.1,379,FALSE,"117.000000,23.100000",,FALSE
117,24,380,TRUE,"117.000000,24.000000",,FALSE
117,24.9,381,TRUE,"117.000000,24.900000",,FALSE
117,25.8,382,TRUE,"117.000000,25.800000",,FALSE
117,26.7,383,TRUE,"117.000000,26.700000",,FALSE
117,27.6,384,TRUE,"117.000000,27.600000",,FALSE
117,28.5,385,TRUE,"117.000000,28.500000",,FALSE
117,29.4,386,TRUE,"117.000000,29.400000",,FALSE
117,30.3,387,TRUE,"117.000000,30.300000",,FALSE
117,31.2,388,TRUE,"117.000000,31.200000",,FALSE
117,32.1,389,TRUE,"117.000000,32.100000",,FALSE
117,33,390,TRUE,"117.000000,33.000000",,FALSE
117,33.9,391,TRUE,"117.000000,33.900000",,FALSE
117,34.8,392,TRUE,"117.000000,34.800000",,FALSE
117,35.7,393,TRUE,"117.000000,35.700000",,FALSE
117,36.6,394,TRUE,"117.000000,36.600000",,FALSE
117,37.5,395,TRUE,"117.000000,37.500000",,FALSE
117,38.4,396,TRUE,"117.000000,38.400000",,FALSE
117,39.3,397,TRUE,"117.000000,39.300000",,FALSE
117,40.2,398,TRUE,"117.000000,40.200000",,FALSE
117,41.1,399,TRUE,"117.000000,41.100000",,FALSE
117,42,400,TRUE,"117.000000,42.000000",,FALSE
117.8,20.4,401,FALSE,"117.800000,20.400000",,FALSE
117.8,21.3,402,FALSE,"117.800000,21.300000",,FALSE
117.8,22.2,403,FALSE,"117.800000,22.200000",,FALSE
117.8,23.1,404,FALSE,"117.800000,23.100000",,FALSE
117.8,24,405,FALSE,"117.800000,24.000000",,FALSE
117.8,24.9,406,TRUE,"117.800000,24.900000",,FALSE
117.8,25.8,407,TRUE,"117.800000,25.800000",97,TRUE
117.8,26.7,408,TRUE,"117.800000,26.700000",,FALSE
117.8,27.6,409,TRUE,"117.800000,27.600000",98,TRUE
117.8,28.5,410,TRUE,"117.800000,28.500000",,FALSE
117.8,29.4,411,TRUE,"117.800000,29.400000",99,TRUE
117.8,30.3,412,TRUE,"117.800000,30.300000",,FALSE
117.8,31.2,413,TRUE,"117.800000,31.200000",100,TRUE
117.8,32.1,414,TRUE,"117.800000,32.100000",,FALSE
117.8,33,415,TRUE,"117.800000,33.000000",101,TRUE
117.8,33.9,416,TRUE,"117.800000,33.900000",,FALSE
117.8,34.8,417,TRUE,"117.800000,34.800000",102,TRUE
117.8,35.7,418,TRUE,"117.800000,35.700000",,FALSE
117.8,36.6,419,TRUE,"117.800000,36.600000",103,TRUE
117.8,37.5,420,TRUE,"117.800000,37.500000",,FALSE
117.8,38.4,421,FALSE,"117.800000,38.400000",,FALSE
117.8,39.3,422,TRUE,"117.800000,39.300000",,FALSE
117.8,40.2,423,TRUE,"117.800000,40.200000",104,TRUE
117.8,41.1,424,TRUE,"117.800000,41.100000",,FALSE
117.8,42,425,TRUE,"117.800000,42.000000",105,TRUE
118.6,20.4,426,FALSE,"118.600000,20.400000",,FALSE
118.6,21.3,427,FALSE,"118.600000,21.300000",,FALSE
118.6,22.2,428,FALSE,"118.600000,22.200000",,FALSE
118.6,23.1,429,FALSE,"118.600000,23.100000",,FALSE
118.6,24,430,FALSE,"118.600000,24.000000",,FALSE
118.6,24.9,431,TRUE,"118.600000,24.900000",,FALSE
118.6,25.8,432,TRUE,"118.600000,25.800000",,FALSE
118.6,26.7,433,TRUE,"118.600000,26.700000",,FALSE
118.6,27.6,434,TRUE,"118.600000,27.600000",,FALSE
118.6,28.5,435,TRUE,"118.600000,28.500000",,FALSE
