year,method,outcome,subset,mae,bias,outer_fold
2006,interpolation,A,high,0.013771688846839637,0.005090850962689373,4
2006,interpolation,A_new344,all,0.01787673096956983,0.006829467838835572,4
2006,interpolation,A_new344,high,0.01832889290281356,0.006775469814708401,4
2006,interpolation,C,all,0.01763312678041482,0.013487298923724838,4
2006,interpolation,C,high,0.01743502632776232,0.01374242978249278,4
2006,mean,A,all,0.0274299322057995,-0.0017129626473502309,4
2006,mean,A,high,0.024149044145138052,-0.0029231805816737335,4
2006,mean,A_new344,all,0.02766217920040076,-0.0018965479359007215,4
2006,mean,A_new344,high,0.02444903270250444,-0.0030656495144814047,4
2006,mean,C,all,0.030352430341700612,-0.0020035983220176704,4
2006,mean,C,high,0.027073621891509525,-0.0034438189449450835,4
2006,simple,A,all,0.008080709196719263,-0.00037420610080619637,4
2006,simple,A,high,0.0069573470266893695,-0.0006614285275578274,4
2006,simple,A_new344,all,0.01003599033783516,-0.0007151637781562087,4
2006,simple,A_new344,high,0.008719099309293628,-0.0010720244278372099,4
2006,simple,C,all,0.013547918544953186,-0.0005851376321544129,4
2006,simple,C,high,0.01198162017743197,-0.0008767509486524669,4
2006,variogram,A,all,0.008134801685077247,-0.00047986909538636163,4
2006,variogram,A,high,0.007012949589975178,-0.000863049187195965,4
2006,variogram,A_new344,all,0.010099604584173971,-0.0007877437388215015,4
2006,variogram,A_new344,high,0.008772611340600815,-0.0012199824530459515,4
2006,variogram,C,all,0.013712363220882817,-0.0008877423784744693,4
2006,variogram,C,high,0.012234163553119822,-0.001372474987690356,4
2007,graph,A,all,0.008035874809102918,-0.0006001084943601513,4
2007,graph,A,high,0.007139227322933729,-0.00016952445569175974,4
2007,graph,A_new344,all,0.010053281135054633,-0.0007848029484123404,4
2007,graph,A_new344,high,0.008906479963712435,-0.0002636257304742974,4
2007,graph,C,all,0.013647905805497886,-1.2059542339881198e-05,4
2007,graph,C,high,0.01237789613576324,0.0004037439701382547,4
2007,interpolation,A,all,0.014562630894015221,0.005446767762608797,4
2007,interpolation,A,high,0.015643305238109414,0.005642723890967689,4
2007,interpolation,A_new344,all,0.019381566415571594,0.007249163417619876,4
2007,interpolation,A_new344,high,0.020819847844669254,0.007509963594728459,4
2007,interpolation,C,all,0.01917332947207063,0.013853099712778035,4
2007,interpolation,C,high,0.020614418717096537,0.014848706990345876,4
2007,mean,A,all,0.024527241739276062,-0.00011701882058298886,4
2007,mean,A,high,0.020503044503605312,-0.0004408079915479366,4
2007,mean,A_new344,all,0.024682436123686695,-0.0002779545884297024,4
2007,mean,A_new344,high,0.020504136898155643,-0.0005923591072938563,4
2007,mean,C,all,0.027519442384107567,0.0010996965855027412,4
2007,mean,C,high,0.024427184084422956,0.0011815628795196023,4
2007,simple,A,all,0.008150735848684608,-0.00026513028688745306,4
2007,simple,A,high,0.007258246030553954,0.00034796753844763026,4
