method,outcome,subset,threshold_c,mae,bias
variogram,A,all,26.25,0.011259999232107866,0.00021366613054123271
variogram,A,all,26.5,0.010539201170595989,0.00025960702319111946
variogram,A,all,26.75,0.009946673857977801,0.0002592333223811175
variogram,A,all,27.0,0.008783391793536259,0.0002886419644177997
variogram,A,all,27.25,0.007727885879250157,0.00029517579564705806
variogram,A,all,27.5,0.006479041247381336,0.0002427881443198625
variogram,A,all,27.75,0.0052446836973834045,0.00022835669898323596
variogram,A,all,28.0,0.004045242146782037,0.0002490775219874071
variogram,A,all,28.25,0.0030518082480373993,0.00022068183287840185
variogram,A,all,28.5,0.002010420806899544,0.0001911938180804871
variogram,A,high,9.5,0.00042217574799479957,-0.000149602552454412
variogram,A,high,9.75,0.0004703687904639292,-0.00019307372729458592
variogram,A,high,10.0,0.0005563983511865012,-0.00020971261340482154
variogram,A,high,10.25,0.0006612506307069054,-0.00023592928827036625
variogram,A,high,10.5,0.0007544860232837637,-0.00022604224103226048
variogram,A,high,10.75,0.0008588073907315593,-0.00024913652337672635
variogram,A,high,11.0,0.0009412264199115231,-0.0002857086864837341
variogram,A,high,11.25,0.0011135312013396893,-0.00024119811475723876
variogram,A,high,11.5,0.0012667627108366192,-0.00015528944840939303
variogram,A,high,11.75,0.001461516446560354,-0.000133044039333939
variogram,A,high,12.0,0.0016545987074522268,-0.0002303269874365566
variogram,A,high,12.25,0.0018502525542094092,-0.0003081955210212186
variogram,A,high,12.5,0.002173803064840567,-0.00032735558008702235
variogram,A,high,12.75,0.002499377315260559,-0.00032497617508487627
variogram,A,high,13.0,0.0026546592797879634,-0.00037678955228748944
variogram,A,high,13.25,0.002882837345371451,-0.00035332266544142006
variogram,A,high,13.5,0.003010340153021035,-0.00026485359350656606
variogram,A,high,13.75,0.0034329390035846715,-0.00012720376000188195
variogram,A,high,14.0,0.003731181901672527,0.0002282952211290309
variogram,A,high,14.25,0.004012144863489007,0.00024612340242815623
variogram,A,high,14.5,0.004387450316092671,0.0003419844317851566
variogram,A,high,14.75,0.004723782662101572,0.00020511700033407117
variogram,A,high,15.0,0.004762271152529278,0.00018310926378779595
variogram,A,high,15.25,0.0050534487650491814,0.00021353333703735274
variogram,A,high,15.5,0.0055402442680148305,8.042513492417801e-05
variogram,A,high,15.75,0.005901980498261216,9.913931914999312e-05
variogram,A,high,16.0,0.00597092184125284,-0.00018473436615125361
variogram,A,high,16.25,0.006285634636537611,-0.0002507720878546025
variogram,A,high,16.5,0.006471170134677722,-0.0005746432941051983
variogram,A,high,16.75,0.006618784950037901,-0.000498234117920337
variogram,A,high,17.0,0.006975374934445711,-0.0006606038123950588
variogram,A,high,17.25,0.007361674917932688,-0.0004716063986877625
variogram,A,high,17.5,0.007503927710613723,-0.0005338688415111454
variogram,A,high,17.75,0.007811906500239392,-0.0006972065111682325
variogram,A,high,18.0,0.007888461838914689,-0.0006135586283434675
variogram,A,high,18.25,0.007889287074440372,-0.00034485105996011567
variogram,A,high,18.5,0.007968340200947627,-0.0005184079930625907
variogram,A,high,18.75,0.008346980984633292,-0.0005312114006216989
variogram,A,high,19.0,0.008533046648555,-0.0003068463522620925
variogram,A,high,19.25,0.008758401653884362,-0.00010531329386457167
variogram,A,high,19.5,0.009076275220924985,-0.0005222357572725678
variogram,A,high,19.75,0.009190551763042664,-0.0005695188077240569
variogram,A,high,20.0,0.009100908459535947,-0.0008029986195157557
variogram,A,high,20.25,0.009278591755776016,-0.0010542657609135164
variogram,A,high,20.5,0.00996693050649133,-0.0011071047819659963
variogram,A,high,20.75,0.010177922411383801,-0.0011174546157935658
variogram,A,high,21.0,0.010586598841837542,-0.0010973011177639498
variogram,A,high,21.25,0.0105266028656917,-0.0008976659210129588
variogram,A,high,21.5,0.010591950841666876,-0.0010792525357990513
variogram,A,high,21.75,0.010521040245022201,-0.0009375495728691584
variogram,A,high,22.0,0.011077130731440435,-0.0011999612927771942
variogram,A,high,22.25,0.011328594522133278,-0.001060772513021341
variogram,A,high,22.5,0.011515439536549885,-0.000966175285824682
variogram,A,high,22.75,0.011454815660935641,-0.0007379230092958805
variogram,A,high,23.0,0.011319907692125392,-0.0005715353842671315
variogram,A,high,23.25,0.011513449296264784,-0.0002843098064483779
variogram,A,high,23.5,0.011444115823180596,-1.2260376771133201e-05
variogram,A,high,23.75,0.011570905372278126,-0.00029864346688315824
variogram,A,high,24.0,0.011979638931580468,-0.0003087170674067611
variogram,A,high,24.25,0.012300379429551433,-0.00013144514976153054
variogram,A,high,24.5,0.012220702018127675,-0.0005172065369363879
variogram,A,high,24.75,0.012484902381108784,-0.0007015489284417979
variogram,A,high,25.0,0.013121806876228053,-0.0004466071112087015
variogram,A,high,25.25,0.013408968666753026,7.768390053857518e-05
variogram,A,high,25.5,0.013595525885636818,0.000308876813271789
variogram,A,high,25.75,0.013447855434057946,0.0004393959378681247
variogram,A,high,26.0,0.013751188018784654,0.0004864165239362245
variogram,A,high,26.25,0.013588740726590842,0.0010362038289619465
variogram,A,high,26.5,0.012888653835886407,0.0006217019235393719
variogram,A,high,26.75,0.012499988795691178,-0.00013382460128631693
variogram,A,high,27.0,0.011404109807197225,0.00022029876585679442
variogram,A,high,27.25,0.010600133958672939,0.00018101992951083973
variogram,A,high,27.5,0.009278823207042545,0.0001623291672372372
variogram,A,high,27.75,0.00764835420424644,-8.743296455315495e-06
variogram,A,high,28.0,0.006101039688160861,0.00023927307044645723
variogram,A,high,28.25,0.004987635901168553,0.00037434920778869256
variogram,A,high,28.5,0.0037583580045768288,0.0003578643313272588
variogram,A_new344,all,9.5,0.001509015364123965,-0.0001844024458046676
variogram,A_new344,all,9.75,0.0016875922870702997,-0.00021865566547493113
variogram,A_new344,all,10.0,0.0018680473938990471,-0.00026051316671775785
variogram,A_new344,all,10.25,0.00206191632451002,-0.00025857619794394693
variogram,A_new344,all,10.5,0.0022246530622964038,-0.0002551985950477644
variogram,A_new344,all,10.75,0.002475667995051046,-0.00026304662616720697
variogram,A_new344,all,11.0,0.0027388761594208406,-0.0002541457536899067
variogram,A_new344,all,11.25,0.0030924997629524944,-0.00027063292893607604
variogram,A_new344,all,11.5,0.003222370428317566,-0.0002588226477464046
variogram,A_new344,all,11.75,0.0035337848070614588,-0.00020901166440967067
variogram,A_new344,all,12.0,0.0038653936022972103,-0.0002036002685961943
variogram,A_new344,all,12.25,0.004220031030954334,-0.00023222222582802818
variogram,A_new344,all,12.5,0.004805787721206748,-0.00023535857772393872
variogram,A_new344,all,12.75,0.005147132863393869,-0.00020604415872340262
