partition,year,scale,ratio,rms_absolute
30--70,1997,4,-0.16057392941263468,-0.428757128833037
30--70,1997,5,-0.17751296212965806,-0.5263946885843401
30--70,1997,6,-0.1840405724262286,-0.5656262616720792
30--70,1998,1,-0.0018863217380664283,-0.0025287393363838304
30--70,1998,2,0.002955607383267093,0.004509574213793499
30--70,1998,3,-0.0011969563420605918,-0.002237877590363387
30--70,1998,4,-0.035163304131792694,-0.0920410431889307
30--70,1998,5,-0.05804203645583909,-0.1720914899817183
30--70,1998,6,-0.06802421498566336,-0.21107239110692402
30--70,1999,1,-0.08867538555244774,-0.10488374487059327
30--70,1999,2,-0.13399307082917133,-0.20614778523990815
30--70,1999,3,-0.17730939503100243,-0.3799602273717557
30--70,1999,4,-0.21324416951727887,-0.5968557165508468
30--70,1999,5,-0.23317085065764076,-0.7327840174318118
30--70,1999,6,-0.241398822240214,-0.7902534484169031
30--70,2000,1,-0.03316143941314801,-0.04550587650212723
30--70,2000,2,-0.050663482917730374,-0.0850220346882975
30--70,2000,3,-0.08664330621495164,-0.19204952894418378
30--70,2000,4,-0.13822810741845504,-0.37567276543710726
30--70,2000,5,-0.16668968061209274,-0.49594266048227514
30--70,2000,6,-0.17844662924584387,-0.5480366628792259
30--70,2001,1,-0.0958054713929335,-0.12230232892689719
30--70,2001,2,-0.0911845314706549,-0.1484641899786879
30--70,2001,3,-0.09172371686740517,-0.20176505182202753
30--70,2001,4,-0.1171281087291991,-0.32945390478806164
30--70,2001,5,-0.13656303085568158,-0.42912193698707285
30--70,2001,6,-0.14515535236105073,-0.47450297291091825
30--70,2002,1,0.031174749852283672,0.021028124847702962
30--70,2002,2,0.0162886560203771,0.0006050966620008147
30--70,2002,3,0.011732885345767033,-0.009486470969444216
30--70,2002,4,-0.0018605174196354806,-0.053159757402284256
30--70,2002,5,-0.017853122222002415,-0.11038027876114498
30--70,2002,6,-0.02553174921178721,-0.13976283369777645
30--70,2003,1,-0.03863245362552122,-0.0459058094123049
30--70,2003,2,-0.048779150093587575,-0.07617742589628662
30--70,2003,3,-0.05155167339062694,-0.10747766150634226
30--70,2003,4,-0.09738705498709792,-0.25590090774149665
30--70,2003,5,-0.12849463660478888,-0.3767923508373003
30--70,2003,6,-0.14178759337029623,-0.4323670989683803
30--70,2004,1,0.03152393727610773,0.03634411268583341
30--70,2004,2,0.03108016341974873,0.04527024088764072
30--70,2004,3,0.009694909458627018,0.012360826817239415
30--70,2004,4,-0.06084217687505374,-0.17838593686140994
30--70,2004,5,-0.10705643173206669,-0.34205639940364146
30--70,2004,6,-0.1268496051557729,-0.41997607681345883
30--70,2005,1,-0.050536553003266614,-0.062855515847193
30--70,2005,2,-0.06889315853243076,-0.11233787407236455
30--70,2005,3,-0.09582317697779452,-0.21136939511038996
30--70,2005,4,-0.14991411819122635,-0.40839313587814363
30--70,2005,5,-0.18467687174873526,-0.5543736510951073
30--70,2005,6,-0.1995545218972282,-0.6202322573868377
30--70,2006,1,-0.05777544879470916,-0.07006514826038446
30--70,2006,2,-0.058339968823824896,-0.09114138037446458
30--70,2006,3,-0.07142280968734234,-0.14850513827184683
30--70,2006,4,-0.09948262647316848,-0.2566623873106524
30--70,2006,5,-0.11496497223783164,-0.32770840869004186
30--70,2006,6,-0.12075416758309525,-0.3573201913510046
30--70,2007,1,0.040186419188704026,0.03944717167115434
30--70,2007,2,0.036078698971726664,0.04239157691833088
30--70,2007,3,0.010794496839046023,0.005678266487432045
30--70,2007,4,-0.0612030950369243,-0.17208808848940707
30--70,2007,5,-0.10676973253484053,-0.3212467858484291
30--70,2007,6,-0.12624667698075384,-0.39244441448343653
30--70,2008,1,0.040053075824168394,0.04288607710004403
30--70,2008,2,0.032148719348708554,0.04217241892008413
30--70,2008,3,0.006226584380879603,-0.001474076343646787
30--70,2008,4,-0.04408906491570774,-0.13390929134130639
30--70,2008,5,-0.07255949492964515,-0.22757692365349116
30--70,2008,6,-0.08440841684225471,-0.26960873322903883
30--70,2009,1,-0.0347568058758165,-0.05006020051698101
30--70,2009,2,-0.031157918040370974,-0.05656435797013559
30--70,2009,3,-0.05769399990968638,-0.12976918632894932
30--70,2009,4,-0.10873661481674397,-0.30825307836057164
30--70,2009,5,-0.13345700965730478,-0.42224319867546534
30--70,2009,6,-0.14289487302802537,-0.4700066922732414
30--70,2010,1,0.006433301843587887,0.008099203052293133
30--70,2010,2,0.002680632650522763,0.0030218401188708555
30--70,2010,3,-0.020085832438163236,-0.0562902428484362
30--70,2010,4,-0.07447696018373136,-0.23010393223881712
30--70,2010,5,-0.10862060173520253,-0.3552349659226189
30--70,2010,6,-0.1231253802023966,-0.41112555835379183
30--70,2011,1,-0.017396133301062416,-0.021244114160844152
30--70,2011,2,-0.0182623457615394,-0.029991891163697233
30--70,2011,3,-0.02457832623207194,-0.05364939778603498
30--70,2011,4,-0.08351289810695246,-0.22005819467155133
30--70,2011,5,-0.12009057362175331,-0.35248613822858016
30--70,2011,6,-0.13480669334408044,-0.4114642960578386
